BearID,Year,Capture date,Ageclass,Sex,OW_50prct,OW_15prct,Meltseason,Bearded_seal,Ringed_seal,Beluga_whale,Bowhead_whale,Seabird_nestling
20423,2010,2010-04-11,Adult,Female,135,88,148,0,35.21,26,1.32,37.48
20580,2013,2013-04-22,Adult,Male,127,88,168,0,26.37,8.83,27.37,37.44
20859,2010,2010-04-08,Adult,Female,135,88,148,4.97,57.94,0,0,37.1
20485,2007,2007-04-29,Adult,Female,104,37,120,0,28.52,22.7,11.83,36.96
20886,2014,2014-04-23,Adult,Male,121,72,115,5.14,2.08,46.96,9.12,36.7
21256,2011,2011-04-14,Subadult,Male,147,83,163,0,44.28,7.78,11.43,36.52
21227,2011,2011-03-25,Adult,Male,147,83,163,0.79,29.15,4.62,29.01,36.45
21286,2013,2013-03-24,Adult,Female,127,88,168,0,48.4,0,15.49,36.11
20555,2007,2007-05-07,Adult,Male,104,37,120,3.9,28.64,13.65,18,35.81
20678,2006,2006-04-07,Adult,Male,135,65,160,6.75,32.58,1.56,23.4,35.74
20674,2004,2004-04-02,Adult,Male,131,57,138,0,35.59,11.53,17.25,35.63
20802,2006,2006-04-13,Adult,Male,135,65,160,5.74,16.6,0,42.32,35.35
20475,2004,2004-04-18,Adult,Male,131,57,138,31.57,1.54,0,31.68,35.22
32366,2011,2011-04-02,Adult,Female,147,83,163,0,51.84,1.09,11.93,35.15
2012030,2012,2012-05-04,Adult,Male,136,100,164,10.95,21.59,0,32.4,35.07
20972,2010,2010-04-12,Subadult,Male,135,88,148,0,2.64,54.83,7.71,34.83
20173,2006,2006-04-03,Adult,Male,135,65,160,0,6.96,37.04,21.66,34.35
20665,2005,2005-04-17,Adult,Male,121,67,137,0.48,19.47,30.09,16.89,33.09
20965,2010,2010-04-19,Adult,Female,135,88,148,0,48.62,0.97,17.35,33.06
20662,2004,2004-03-28,Subadult,Male,131,57,138,0,44.85,14.95,7.83,32.38
20169,2008,2008-04-19,Adult,Male,158,89,147,0,16.96,22.39,28.57,32.1
20829,2006,2006-04-18,Adult,Male,135,65,160,0,53.5,14.46,0,32.04
6520,2005,2005-04-21,Adult,Female,121,67,137,0,35.02,9.26,23.79,31.94
20419,2005,2005-04-18,Adult,Female,121,67,137,0,31.1,22.19,15.11,31.61
20827,2006,2006-04-18,Adult,Male,135,65,160,0,57.64,4.09,6.79,31.49
20110,2014,2014-04-12,Adult,Male,121,72,115,7.75,18.38,0.9,41.72,31.26
20184,2005,2005-04-15,Adult,Male,121,67,137,3.01,22.08,34.59,9.09,31.24
20617,2006,2006-04-06,Adult,Male,135,65,160,0,26.53,0,42.46,31.02
20935,2011,2011-04-07,Adult,Male,147,83,163,38.22,30.85,0,0,30.93
20845,2014,2014-04-09,Adult,Female,121,72,115,21.83,47.16,0,0.11,30.91
20668,2009,2009-04-01,Adult,Male,120,66,174,3.78,45.63,0,19.91,30.7
21362,2014,2014-03-25,Adult,Male,121,72,115,0,68.33,1.43,0,30.24
20300,2007,2007-04-25,Adult,Male,104,37,120,11.08,6.18,28.27,24.3,30.19
2012028,2012,2012-05-04,Adult,Male,136,100,164,0,36.85,0,32.97,30.18
20971,2011,2011-04-08,Subadult,Female,147,83,163,1.15,52.9,0,15.93,30.03
21366,2014,2014-04-06,Adult,Female,121,72,115,0,67.67,0,2.35,29.99
21015,2010,2010-04-18,Adult,Female,135,88,148,0,48.18,1.04,20.86,29.93
2012021,2012,2012-05-01,Subadult,Male,136,100,164,0,32.07,0,38.09,29.85
20905,2007,2007-05-07,Adult,Female,104,37,120,4.7,49.97,13,2.58,29.76
20928,2010,2010-04-08,Adult,Male,135,88,148,32.98,35.1,0,2.3,29.63
21045,2015,2015-04-13,Adult,Female,114,69,144,0,43.94,2.09,24.4,29.58
21240,2011,2011-03-30,Adult,Female,147,83,163,0,70.51,0,0,29.5
20627,2008,2008-04-17,Adult,Male,158,89,147,0,41.73,1.99,27.09,29.2
20597,2005,2005-04-10,Adult,Female,121,67,137,0,36.73,13.37,20.84,29.07
32255,2011,2011-04-07,Adult,Female,147,83,163,0,64.77,0,6.34,28.89
6336,2007,2007-04-04,Adult,Female,104,37,120,57.06,14.23,0,0,28.72
20497,2007,2007-04-01,Adult,Male,104,37,120,13.19,4.31,0.16,53.79,28.56
32376,2009,2009-05-19,Adult,Male,120,66,174,3.57,47.43,0,20.52,28.49
20490,2016,2016-03-29,Adult,Male,139,95,169,12.58,18.36,0,40.6,28.47
20186,2007,2007-04-12,Adult,Male,104,37,120,2.32,47.91,0,21.71,28.06
20580,2009,2009-04-17,Adult,Male,120,66,174,0,28.42,28.82,14.81,27.96
20972,2014,2014-04-08,Adult,Male,121,72,115,15.29,44.75,0,12.12,27.85
20475,2011,2011-04-01,Adult,Male,147,83,163,1.12,23.15,0.49,47.56,27.7
21030,2009,2009-05-03,Adult,Female,120,66,174,0,45.1,0,27.43,27.48
20424,2009,2009-04-26,Adult,Male,120,66,174,11.31,17.66,0,43.58,27.46
22311,2015,2015-05-07,Subadult,Female,114,69,144,0,59.39,4.91,8.43,27.28
21260,2014,2014-04-14,Adult,Male,121,72,115,2.06,63.07,0,7.9,26.98
32366,2014,2014-04-22,Adult,Female,121,72,115,3.88,54.72,0,14.5,26.91
20296,2015,2015-04-14,Adult,Male,114,69,144,0,34.81,3.15,35.22,26.83
20556,2013,2013-04-15,Adult,Male,127,88,168,1.32,48.31,0,23.57,26.81
20902,2007,2007-05-07,Adult,Female,104,37,120,0,34.99,0,38.29,26.72
20206,2013,2013-04-18,Adult,Male,127,88,168,12.01,14.77,0,46.52,26.71
20580,2004,2004-04-26,Subadult,Male,131,57,138,9.02,14.44,0,50.04,26.52
20772,2005,2005-04-05,Adult,Male,121,67,137,0,59.38,0,14.17,26.46
21368,2014,2014-04-08,Adult,Female,121,72,115,0,51.77,0.58,21.22,26.43
20424,2010,2010-04-19,Adult,Male,135,88,148,0,8.14,35.75,29.7,26.42
20642,2014,2014-04-06,Adult,Male,121,72,115,3.02,63.85,0,6.9,26.24
21398,2015,2015-04-09,Subadult,Male,114,69,144,0.57,40.87,0,32.44,26.13
21232,2011,2011-03-24,Subadult,Male,147,83,163,12.86,61.34,0,0,25.8
32662,2009,2009-04-18,Adult,Male,120,66,174,0,32.1,20.85,21.28,25.77
2012010,2012,2012-04-30,Adult,Male,136,100,164,2.67,40.51,0,31.08,25.75
20553,2009,2009-04-16,Adult,Male,120,66,174,15.76,3.82,0,54.7,25.73
20786,2005,2005-04-13,Adult,Male,121,67,137,0,65.23,4.75,4.38,25.66
21368,2015,2015-04-11,Adult,Female,114,69,144,0,45.65,0,28.82,25.54
32267,2010,2010-04-14,Adult,Female,135,88,148,4.81,65.06,0,4.95,25.2
21045,2010,2010-04-09,Adult,Female,135,88,148,26.15,44.37,0,4.33,25.17
20881,2007,2007-04-06,Adult,Male,104,37,120,49.96,24.93,0,0,25.12
20835,2006,2006-04-20,Adult,Male,135,65,160,6.29,64.3,0,4.37,25.04
20773,2005,2005-04-06,Adult,Male,121,67,137,15.78,59.19,0,0,25.04
32799,2006,2006-05-09,Adult,Female,135,65,160,10.87,64.14,0,0,24.99
21239,2011,2011-03-30,Adult,Male,147,83,163,60.37,8.54,0,6.15,24.94
21214,2013,2013-04-27,Subadult,Female,127,88,168,0,52.09,3.88,19.22,24.81
20617,2005,2005-04-28,Adult,Male,121,67,137,0,50.61,16.52,8.27,24.61
21024,2009,2009-04-25,Adult,Female,120,66,174,50.64,24.83,0,0,24.54
2012015,2012,2012-05-01,Adult,Male,136,100,164,44.68,31.02,0,0,24.3
20195,2016,2016-03-27,Adult,Male,139,95,169,58.99,14.88,0,1.84,24.29
20110,2016,2016-03-21,Adult,Male,139,95,169,15.08,45.33,0,15.4,24.2
21380,2014,2014-04-13,Subadult,Female,121,72,115,8.68,57.62,0,9.51,24.19
20206,2009,2009-05-03,Adult,Male,120,66,174,0,8.66,18.7,48.49,24.17
22305,2016,2016-04-09,Adult,Female,139,95,169,8.21,67.65,0,0,24.15
20525,2011,2011-04-06,Adult,Female,147,83,163,0,50.2,17.47,8.3,24.04
20932,2010,2010-04-08,Adult,Male,135,88,148,60.36,15.67,0,0,23.97
21020,2009,2009-04-17,Adult,Male,120,66,174,42.95,29.37,0,3.74,23.94
22309,2015,2015-04-23,Adult,Female,114,69,144,0,50.46,25.66,0,23.88
20908,2007,2007-05-08,Adult,Female,104,37,120,1.71,72.29,0,2.16,23.86
20193,2005,2005-04-18,Adult,Female,121,67,137,0,72.38,0,3.8,23.82
21391,2014,2014-04-29,Subadult,Female,121,72,115,0,65.16,4.87,6.26,23.72
21253,2014,2014-04-28,Subadult,Female,121,72,115,18.66,57.82,0,0,23.53
20884,2007,2007-04-10,Adult,Male,104,37,120,12.87,31.88,0,31.76,23.49
20642,2013,2013-04-13,Adult,Male,127,88,168,9.51,63.33,0,3.69,23.49
21238,2011,2011-03-29,Adult,Female,147,83,163,0,50.03,12.62,14.09,23.27
20418,2005,2005-04-13,Adult,Female,121,67,137,0,25.09,1.74,49.98,23.2
21152,2011,2011-03-22,Adult,Female,147,83,163,21.21,50.71,0,5.09,23
2012002,2012,2012-03-24,Adult,Female,136,100,164,1.4,24.52,0,51.14,22.95
20883,2007,2007-04-08,Adult,Male,104,37,120,0.14,11.21,0,65.78,22.88
21235,2011,2011-03-28,Adult,Male,147,83,163,1.64,70.13,0,5.4,22.84
20519,2007,2007-04-28,Adult,Female,104,37,120,0,37.41,16.73,23.24,22.63
20987,2009,2009-03-25,Adult,Male,120,66,174,11.46,50.06,0,15.91,22.58
20606,2007,2007-04-29,Adult,Male,104,37,120,24.39,2.84,0,50.31,22.47
20449,2010,2010-04-01,Adult,Male,135,88,148,19.99,57.56,0,0,22.45
